Project,Graphic_Files
Arunav123/Employee-Hourly-Attendence/,"['0 Level DFD.png', 'Class Dig.png', 'ER Dig.png', 'Level 1 DFD.png', 'State Dig.png', 'UseCaseDiagram.png', 'component dig.gif', 'sequence.png']"
arushivashist/Surrogate-City-Finder-Tool/,['img1.jpg']
ARyaskov/SmilingMoose/,"['smiling_moose.png', 'suml_editor.png']"
asaini32/CS-6238/,['class_diagram.jpg']
Aschen/SmartServeur/,['diagramme_classe.jpeg']
Asgil/AntClustering/,"['classDiagram.png', 'interactionDiagram.jpg']"
ashalper-usgs/aq2rdb/,['model.uml']
AshEaria/blockbuster/,"['Agenerales.png', 'Aprestamo.png', 'Atarifa.png', 'Musicas.png', 'Pelicula.png', 'Peliculas.png', 'Serie.png', 'Series.png', 'aceptar.png', 'ajustes.png', 'alquilar.png', 'alta.png', 'atras.png', 'añadir.png', 'buscar.png', 'buscarSocio.png', 'cancelarDev.png', 'confirmar.png', 'contrTarifa.png', 'devolver.png', 'ejemBaja.png', 'morosos.png', 'musica.png', 'newSocio.png', 'pagarPenaliz.png', 'reponer.png', 'salir.png', 'topten.png']"
ashishkumar1993/PaintSoftware/,"['ActivityDiagram.jpg', 'ClassDiagram.jpg', 'Paint.uml', 'SequenceDiagram.jpg', 'StateDiagram.jpg', 'UseCaseDiagram.jpg', 'Usecase.uml', 'eraser.gif', 'fff.gif', 'line.gif', 'line3.gif', 'oval.gif', 'rectangle.gif', 'temp.gif', 'temp1.gif', 'triangle.gif']"
ashishlal/pjproject-2.0.1/,['test.png']
asigtermans/iCal4j/,['iCal4j Class Diagram.png']
Asiorek/uml/,"['classDiagram.png', 'objectDiagram.png', 'ogolnyActivityDiagram.png', 'sequence1.png', 'sequence2.png', 'sequence3.png', 'sequence4.png', 'sprKontaActivityDiagram.png', 'state1.png', 'usecase1.png', 'usecase2.png', 'usecase3.png', 'wyjscieActivityDiagram.png', 'wyplataActivityDiagram.png']"
askiba/master-thesis/,"['agh.jpg', 'airDrag.png', 'architekture-simple.png', 'boinc-26-12.png', 'boinc-app-benchmark.png', 'boinc-app.png', 'boinc-installation.png', 'brach_steps.png', 'czasPrzejazdu.png', 'diagramClientLayers.png', 'diagramClientServerDb.png', 'distributedNet.png', 'distributedNetConsole.png', 'eksp-1.JPG', 'eksp-2.JPG', 'eksp-3.JPG', 'eksp-4.JPG', 'eksp-5.JPG', 'eksp-6.JPG', 'experyment-masa-bez-oporow.png', 'experyment-masa-bez-oporu.png', 'experyment-masa.png', 'firefox-awaria-przy-10.png', 'foldingMonitor.png', 'foldingShare.png', 'foldingStart.png', 'frenchapp.png', 'interfejs-1.png', 'interfejs-2.png', 'matt-1.png', 'matt-2.png', 'narty.jpg', 'przegladarki-3.png', 'punish-fun-1.png', 'punish-test.png', 'punish.png', 'real-time-ga.png', 'rownia.jpg', 'taskManager15.png', 'taskManager4.png', 'top500-november2013.png', 'trasy.png', 'uczenie.png', 'wydajnoscZakladki.png']"
aspett/cluedo/,"['class diagram.png', 'class-diagram-FINAL.png', 'class-diagram-finished.png', 'sequenceDiagramCluedo.png']"
aspett/javamon/,['ClassDiagram.png']
Aspoz/peerassessment/,"['diehard1.JPG', 'diehard2.JPG']"
astv99/csci4448_project/,"['ark_diagrams_uml.png', 'ark_diagrams_use_case.png', 'arkanoid-main.png']"
asu-cis-capstone/smockish/,['To-do.png']
ateston/user-manager/,"['ClassDiagram.png', 'ClassDiagram.uml']"
athens400/IDV607-workshop2/,"['Class diagram v2.png', 'Look at member info v2.png', 'New Member v2.png']"
athens400/IDV607-workshop3/,['BlackJack_classDiagram.png']
atlanmod/emfviews/,['logo.png']
atniptw/massive-octo-ninja/,"['ClassDiagram.png', 'SudokuBoard.png']"
atok/POWERsim/,"['diagram.png', 'diagram.uml']"
AudioCommons/audiocommons.github.io/,"['android-chrome-144x144.png', 'android-chrome-192x192.png', 'android-chrome-36x36.png', 'android-chrome-48x48.png', 'android-chrome-72x72.png', 'android-chrome-96x96.png', 'apple-touch-icon-114x114.png', 'apple-touch-icon-120x120.png', 'apple-touch-icon-144x144.png', 'apple-touch-icon-152x152.png', 'apple-touch-icon-180x180.png', 'apple-touch-icon-57x57.png', 'apple-touch-icon-60x60.png', 'apple-touch-icon-72x72.png', 'apple-touch-icon-76x76.png', 'apple-touch-icon-precomposed.png', 'apple-touch-icon.png', 'favicon-16x16.png', 'favicon-194x194.png', 'favicon-32x32.png', 'favicon-96x96.png', 'mstile-144x144.png', 'mstile-150x150.png', 'mstile-310x150.png', 'mstile-310x310.png', 'mstile-70x70.png', 'safari-pinned-tab.svg']"
audioscience/avdecc-lib/,['git_dev_seq_uml.png']
audreyt/cn.ethercalc.net/,"['collab-borders.png', 'collab-conflict.png', 'collab-flow.png', 'collab-olpc.png', 'collab-resolution.png', 'ethercalc.tw.signature.png', 'flow-nodejs-zh-tw.png', 'flow-prototype-zh-tw.png', 'flow-snapshot-zh-tw.png', 'logo.png', 'multiplayer-socialcalc-zh-tw.png', 'profiler-jsdom.png', 'profiler-no-jsdom.png', 'richtext-example.png', 'richtext-flow.png', 'richtext-formats.png', 'richtext-screenshot.png', 'scaling-cluster-zh-tw.png', 'scaling-evented-zh-tw.png', 'scaling-threads-zh-tw.png', 'socialcalc-2046.png', 'socialcalc-cell-handles.png', 'socialcalc-class-diagram.png', 'socialcalc-command-runloop.png', 'socialcalc-input.png', 'socialcalc-parts.png', 'socialcalc-screenshot.png', 'wikicalc-add-col-rows.png', 'wikicalc-components.png', 'wikicalc-flow.png', 'wikicalc-loading.png', 'wikicalc-screenshot.png', 'wikicalc-socialcalc-zh-tw.png']"
aukgit/ASP.NET-MVC-Bootstrapper-Installed-Example/,['logo.gif']
aukgit/Old-Work-Images/,"['Accoutning Database Diagram 18 Sep 2014.png', 'Simple Apps WebSite Database Diagram.png', 'Simple Apps WebSite Entity Diagram.jpg']"
aukgit/UGE5/,"['newdiagram.png', 'newdiagram2.png', 'newdiagram3.png', 'newdiagram4.png', 'newdiagram5.png']"
Aurele-Barriere/Ants_VS_Bees/,['uml.png']
Auropen/SecondHandCars/,['Front-page graphics.jpg']
AuroraSyN/UNI-Heidelberg-isw1516/,['Punkten.bmp']
AustinCWells/HelpMeOut/,['screenshot.png']
AustinMorrell/My-Assesment-3/,['UMLLibrary.png']
autious/kravall/,['logo.png']
avdi/alter-ego/,['State_Design_Pattern_UML_Class_Diagram.png']
avgaydashenko/Race/,['class_diagram.png']
avicizhu/Load-balancer/,"['0-48.png', '1-40.png', '24-6.png', '36-lc.png', '48-40.png', '48-6.png', 'cwnd.png', 'l-1.png', 'l-2.png', 'l-3.png', 'l-4.png', 'r-1.png', 'r-2.png', 'r-3.png', 'r-4.png', 't2-l-10.png', 't2-l-80.png', 't2-l-90.png', 't2-r-10.png', 't2-r-80.png', 't2-r-90.png']"
Avladiev/Task/,"['diagram.png', 'task.uml']"
awernick/FifteenPuzzle-android/,['UML.png']
awh/virgo-spring-oauth2-example/,['spring-security-oauth2-class-diagram.png']
awills94/Examen1/,['DiagramParte2.png']
awood92/sudoku/,['class_diagram.png']
axe607/PIRplayer/,['ClassDiagram1.png']
AxKz2jnAOK/Java2NetPort/,['ClassDiagram1.png']
aydex/IT1901-Gruppe11/,['class diagram.gif']
AyozeVera/Kata4Clase/,['umlweapon.uml']
azman0101/videovignette/,['diagram_031214.png']
azunigac/Examen1Tiburon-master/,['DiagramParte2.png']
B-Translator/B-Translator.github.io/,['favicon.png']
B-Translator/btr_server/,['btr_server.png']
babela86/ProjectoFinal/,"['DiagramaConceptual_7Agosto2015 - Cópia.png', 'DiagramaConceptual_7Agosto2015.png', 'DiagramaFisico_7Agosto2015 - Cópia.jpg', 'DiagramaFisico_7Agosto2015.jpg']"
BackupTheBerlios/demesene/,['emesene-logo.png']
BackupTheBerlios/iiphoto-svn/,"['Diagram_wraz_z_delegatami.png', 'Filtry_na_zdjęciach.png', 'Ogólny_zarys_komunikacji.png']"
BackupTheBerlios/unisimu-svn/,"['fast.png', 'moose.png', 'pcr.png', 'ppi.png', 'smartlink.png']"
bag-man/exam/,['diagram.png']
bahmutov/digest-cycle-in-web-worker/,"['digest-then-dom-timeline.png', 'digest-then-dom.png', 'full-cycle-diagram.png', 'set-foo-diagram.png']"
baikangwang/April/,"['dataflowchart.png', 'logicflowchart.png']"
baiqizhang/DSTeam10/,"['DS Diagram.png', 'uml.png']"
balder-education/docs/,['Diagrama-componente-arquitetura.png']
balitm/ATM-Example/,"['browser-shot.png', 'client-uml.png', 'server-uml.png', 'win-shot.png']"
Balsakup/TurtleGame/,['Class Diagram.jpg']
bantunes82/mongoDB-morphia/,['Class Diagram Soccer Team.png']
banyuputri/IFD-Tugas4-ClassDiagramPizza/,['Class Diagram Pizza.jpg']
BaptisteLeBescond/Pokedeck/,['Pokedeck_UML.png']
barba-dorada/webapp5/,['d.uml']
barbaragavalda/examenOOP/,['Diagrama-de-clases-del-dominio.png']
Barbatos/PentagoJava/,['diagrammeuml.gif']
Barbatos/StadeEauVive/,"['photo 1.JPG', 'photo 2.JPG']"
barbosaGonzalez/Tarjeta-inteligente-de-pago-UCOL/,"['diseño.png', 'diseño2.jpg']"
BartoAlheiros/AssisTECH/,['ASSISTECH_UML_ATUALIZADA.jpeg']
bascoder/keymanager/,['keymanager_analysis.uml']
bass3l/SmokeSim2D/,['Class Diagram.jpg']
bassdeveloper/Panapoll/,"['Panapoll.jpeg', 'Panapoll.uml']"
batangpinangga/robotics/,['uml_cmpe_434.png']
batatero/arquiteturaPHP00/,"['Calcular Salarios.jpg', 'Class Architecture.jpg']"
Batfackel/SDDGroupProject/,"['BulletUML.png', 'IMG_3084.JPG', 'IMG_3085.JPG']"
bathla18/online-photography-java/,['digitalphotography.uml']
baudvix/roboteams/,"['background.jpg', 'mcc_1nxt.jpeg', 'mcc_1nxt_2.jpeg']"
baxter29a/projekt.prog.2013/,['class diagram.svg']
bazile/Training/,['thereisnothread.png']
bbfeechen/FlickrGallery/,['FlickrGalleryClassDiagram.png']
BBK-PiJ-2015-69/cw-ds/,['ClassDiagram.jpg']
bboecherer/SailingSchoolManagerWPF/,"['ClassDiagram1.jpg', 'ClassDiagram1.png', 'ClassDiagram2.png', 'ClassDiagram3.png', 'ClassDiagram4.png', 'ClassDiagram5.png', 'ClassDiagram6.png', 'ClassDiagram7.png', 'DB_BU.png', 'DB_Course.png', 'DB_Invoices.png', 'DB_Planing.png', 'DB_Qualis.png', 'DB_Student_Insructor.png']"
bboyadzhiev/StudentSystem/,['Full Class Diagram.png']
bcaudell95/EECS448_HW4/,"['HW4_Architecture.png', 'HW4_ClassDiagram.png', 'HW4_SequenceDiagram.png']"
bcaudell95/EECS448_HW5/,['architecture.png']
BCedric/Quarto/,"['Dessin1.jpg', 'DiagrammeDeClasses.jpg']"
bcerv/plants_sca/,['modelisation_uml.uml']
bdfinlayson/textula/,['textula_edm_diagram.jpg']
BDSAMacGyvers/AS35/,['class_diagram.png']
BDSAMacGyvers/AS39/,['klasse diagram.png']
beaussart/angryBrids/,['diagram.png']
bebosudo/2015-12-03_132059/,"['2015-12-03_132059.jpg', 'uml_handmade.jpg']"
beccabwm399/assign1/,['kestral.png']
BeccaMG/Proyecto1_Redes1/,['diagrama de secuencia.png']
begarco/ServicesReseau/,['ClassDiagram1.png']
begbegin/NewParckBiss/,['image_voiture-web.png']
begwissou/supperparckvoiture/,['image_voiture-web.png']
bencw99/BoardGame-AI/,['UML Documentation.png']
BenHand/madlib/,['logo.png']
benima/Docs/,['Diagrammedeclasses.png']
benjaminmeyer/ride-coordination-app/,"['Ride coordination use case.jpg', 'csc415 assignment 4 algorithm - New Page.png', 'csc415 assignment 4 design class - New Page.png', 'csc415 assignment 4 state - New Page.png', 'csc415 assignment 4 state.png', 'csc415 assignment 4 wireframe - New Page 2.png', 'csc415 assignment 4 wireframe - New Page.png', 'csc415 assignment 4 wireframe.png', 'csc415 assignment 4 wireframe0.png']"
Benjarut/ButtonGame2/,"['ButtonGame2.uml', 'ClassDiagram.PNG', 'SeqDiagram.PNG']"
benkoussas/project_zedpharm/,"['Diag_cas_utilisations_admin.jpg', 'Diag_cas_utilisations_admin.uml', 'Diag_cas_utilisations_client.jpg', 'Diag_cas_utilisations_client.uml', 'Diag_cas_utilisations_opératrice.jpg', 'Diag_cas_utilisations_opératrice.uml', 'Use Case Diagram operatrice commercial.jpg', ""diagramme des cas d'utilisation(version 1.0).jpg""]"
Benllycast/Python-Interprete-Matematico-WXpython/,"['Uml.jpg', 'logoUdc.jpg', 'uml.uml']"
bennour/EstimationRecursive/,['gradiantConjugueTest.png']
Benobi42/bschreib-Reflex/,['bschreib-reflex_UML_Diagram.jpg']
benoitbleuze/OTSDesignPatternLecture/,"['Abstract_factory_UML.svg', 'Adapter.svg', 'Command.svg', 'FactoryMethod.svg', 'MVC.svg', 'OTS.jpg', 'cc-by-sa-31px.png', 'cc-by-sa.png']"
benpetroski/AndroidGame/,['AndroidGameUML.jpg']
bercaru/SETema5/,['Tema5 Diagram.jpg']
bercaru/Tema3/,['Tema3 UML.jpg']
BergarSimonsen/BNDN-Project/,"['ClassDiagram_04.png', 'IMG_02042013_163601.png']"
bersve26/TCSS-511-2016/,"['System Simple Use Case Diagram - Standard.jpeg', 'System Use Case Diagram - New Page.jpeg']"
bertolinux/QBittorrentApp/,"['qbittorrentapp-activity.png', 'qbittorrentapp-class.png']"
beziarum/pong/,['Diagramme-projet-reseau.png']
bfaltrep/BDD/,"['PrimeurEnLigne_MCD.jpg', 'PrimeurEnLigne_MLD.jpg', 'Resultats du SELECT.JPG', 'UML-BIS.png', 'UML.png']"
bgalabov/PTS/,"['ClassDiagram_SetNewUserPassword.png', 'Workflow_SetNewUserPassword.png', 'class_structrure.PNG']"
BGCX067/ezonas-hg-to-git/,"['Clipboard-1.png', 'sq.png', 'sq2.png']"
bieridee/bieridee-docs/,"['pixel.beer.v1.png', 'pixel.beer.v2.png', 'pixel.beer.v2.transparent.png']"
bigplus/bigplus.github.io/,"['design-patterns.jpg', 'etl-as.png', 'simple-learn-python.png']"
Bildoor/Uppdrag5/,"['Struktur i klass.png', 'UML.png']"
billyandrys/desafio1/,['Surforce.uml']
BinoneJava/BatailleNavaleSamAntho/,['BatailleNavale2.uml']
BIO-DIKU/SeqScan/,['logo.png']
bioinfocttj/pdp/,"['Visuel.png', 'blobDilate.png', 'blobs.png', 'blobsDog.png', 'blobsImmcorr.png', 'class_diagram.png', 'cropblob.png', 'cropprotDog.png', 'diagComplet.png', 'logounibdx.png', 'plugin3-1.png', 'pluginCadres.png', 'protDilate.png', 'protDog.png', 'proteines.jpg']"
bippity/Parachute/,"['Falling.png', 'Logo.png', 'Parachute.png']"
bittersweetryan/cfevernote/,['cfelogo.png']
bjoernross/TMetrics/,['DB_Schema.png']
Blackcatn13/houseDesigner/,"['ClassDiagram1.png', 'normal.png', 'textura.png']"
BlackFeetTUM/Database/,['ER Diagram.svg']
blackjacktraders/service_manual/,"['badReview.png', 'refunds.svg', 'refunds.uml']"
blackstylle/CSR-GARE/,['diagramme_classes_v2.jpg']
blackstylle/Mini-Editor/,['ClassDiagramV1.jpg']
BlackthornYugen/SoundScape/,['SoundScape_Class_Diagram.png']
Blaskon/GroupProject/,"['CrokePark.jpeg', 'CrokePark1.jpg', 'GPO1.jpg', 'KilmainhamJail.jpg', 'blarney_stone1.jpg', 'blarneystone.jpg', 'crokepark.jpg', 'crokepklogo.png', 'dublincastle.jpg', 'dublincastle_page.jpg', 'flag.gif', 'gametime.jpg', 'gpo_page.jpg', 'home_blarney11.jpg', 'home_croke_park1.jpg', 'home_croke_park11.jpg', 'home_dublin_castle.jpg', 'home_dublin_castle11.jpg', 'home_gpo11.jpg', 'home_kilmainham11.jpg', 'home_newgrange11.jpg', 'innerwalls.jpg', 'ireland-4.jpg', 'irelandlogo.png', 'irish-flag.jpg', 'irish_flag.png', 'kilmainham.jpg', 'menu9.gif', 'newgrange.jpg', 'newgrange1.jpg', 'newgrange2.jpg', 'newgrange_page.jpg', 'oldcroke.jpg', 'openfield.jpg', 'outside.jpg', 'passway.jpg', 'webpetrie3jpgjpg.jpg']"
blmdlm/superedit/,['superedit_uml.uml']
Bloodyundead/Examen1/,['DiagramParte2.png']
BlueBarracudas/Deliverables/,"['ERD 2.22.2015.png', 'Enhanced ER Diagram.jpg', 'JobIT ER Diagram.jpg']"
bluemel/Homepage/,"['Martin.jpg', 'construction.gif', 'up.jpg', 'wallpaper.jpg']"
blueskyfish/node-header-session/,"['demo-screenshot.png', 'logo.png', 'storage-diagram.png']"
blyzniuk/DistantLearning/,['diagram.png']
BMX-Nick/Chunk/,"['Diagram.uml', 'diagram.png']"
boatski/ExpressionEvaluator/,['ExpressionEvaluatorClassDiagram.png']
bobbaddeley/Anglerfish/,['Design_Document.jpg']
bobbotj/progetto_siw/,['ClassDiagram.jpg']
bobo1993324/UDropCabin/,['logo.png']
boggdan95/HojaDeTrabajo-10/,['My.uml']
bohaoist/LibExcutor/,['class_diagram.png']
Bojan011/group9-app/,"['AndroidDiagram.png', 'AndroidHelperClasses.png', 'ic_launcher-web.png']"
bolaft/message-link-detector/,['uima-as_activity_diagram.png']
bombmanual/bombmanual.github.io/,['header.png']
bonewell/vectosvg/,"['converting.puml', 'vectosvg.puml']"
boooka/GeoPowerOff/,['diagram.png']
borafael/vaquita/,['vaquita_diagrama_estatico_clases.png']
borer/design_patterns_in_game_engines/,['ecsClassDiagram.png']
BornaP/NutriFitApp/,"['ClassDiagramModel.png', 'ClassDiagramObserverPattern.png']"
boschthomas/RDF-Constraints-Vocabulary/,['RDF-CV-UML-Class-Diagram.png']
brandonnchoii/SLogo/,"['UIDiagram.jpg', 'UML Overview.jpg']"
brandonnchoii/VOOGASalad/,"['Game Authoring Environment.jpg', 'Graphical Authoring Environment.jpg', 'Initial Player View.jpg', 'ObjectDesign.jpg', 'Player Design.jpg', 'UML Engine.jpg']"
brandyaptx/sso-master/,"['sso-diagram_ajax.png', 'sso-diagram_alex.png', 'sso-diagram_binck.png', 'sso-diagram_no-sso.png']"
branstraub/office-boxes/,['poster.jpg']
Brefew/csci4448_Project/,['final_class_diagram.png']
BrendiisFox/Tarea2Progra/,['diagrama.png']
brenocarvalho/MatriculaUFF/,['Diagrama de Classe.png']
brianhassett19/NLP/,['NB_classifier_UML_Diagramr.png']
brianthomas/pXDF/,['UML-XDF.gif']
bricksdev/trunk/,"['modules_design.jpg', 'modules_package.jpg']"
Brigitte-Ng/yuentung-travelexpenseapp/,['ic_launcher-web.png']
BrijBhushan1/SoftwareEngineering/,"['Activity Diagram.png', 'Class Diagram.png', 'DFD(0).png', 'Sequence Diagram.png', 'use case diagram_admin.png', 'use case diagram_buyer.png', 'use case diagram_owner.png']"
BrOrlandi/SFECommerce/,['uml_diagram.png']
brotherjack/uml_cop4331c_18/,"['Environment_Class_Diagram.png', 'High_Level_Package_Diagram.png', 'Object_Class_Diagram.png', 'Player_Class_Diagram.png', 'Tank_Class_Diagram.png']"
browserify-search/scripts/,"['diagram.png', 'diagram.svg']"
bruceoutdoors/OGLMan/,['OGLMan-Design.uml']
brunobarros/mpes-reuso-basico/,['Diagrama da arquitetura OSGi.png']
brunosouzasilva/INE5412-Filesystem/,['ProjectDesignDEPRECATED.bmp']
bryanpope/PuckMan3D/,['ClassDiagram2.png']
BS-Harou/db2013/,"['Activity.png', 'Classes.png', 'Components.png', 'DiagramAktivit1.png', 'EvidenceOblibenychAHodnoceni.png', 'EvidenceSkupin.png', 'FunctionalRequrements.png', 'Hodnoceni.png', 'Interface.png', 'Mapovani.png', 'Oblibene.png', 'Skupiny.png', 'UseCase.png', 'UseCaseV2.png', 'UseCaseV3.png', 'album.png', 'db.png', 'db_id.png', 'diagram nasazeni.png', 'song.png']"
bsaunder/cs414-discussions/,"['A10 Part A Activity Diagram (Small).png', 'A10 Part A Activity Diagram.png', 'A10 Part A State Diagram (Small).png', 'A10 Part A State Diagram.png', 'Groupd3-D4-PartB-Submission.png', 'Saunders_D4PartA.png', 'Saunders_D4PartA_v2.png', 'Saunders_D4PartA_v3.png', 'Saunders_D5PartA.png', 'Saunders_D5PartA_v2.png']"
BShakhovsky/MidiParser_Unused/,['ClassDiagram.png']
BShakhovsky/PianoFingering/,['ClassDiagram.png']
bsmolley/bsmolleyAssignment1/,['ic_launcher-web.png']
bstock92/ShipMate/,"['ClassDiagram.png', 'ic_launcher-web.png']"
BSUIR350531/kosiakov/,['ClassDiagram2.png']
btrowbridge/ToyBoxSOFT_ENG/,"['ClassDiagram3.png', 'classdiagram2.jpg']"
BU-NU-CLOUD-SP16/MOC-Monitoring/,"['Monasca-arch-component-diagram.png', 'VM architecture.png']"
burkongla/HHH/,['Heater.uml']
burkongla/HHHServer/,"['HeaterSimulation.uml', 'Server.uml']"
burkongla/HHHTermostat/,['Termostat.uml']
bvgastel/xmas/,['quick-guide-gplv3-compatibility.png']
bwahn/kubernetes/,"['logo.png', 'logo.svg']"
bwcheung/as1/,['ic_launcher-web.png']
BWI2131012/AppDev2-RocketCRM-Client/,['KlassenDiagrammClient.jpg']
BWI2131012/AppDev2-RocketCRM-Server/,['KlassenDiagrammServer.jpg']
bwormley/CS151_RPS/,['Lunar_Class_Diagram.png']
bwstaal/SaveVSUMLDiagramsToImageFile/,['PreviewImage.png']
bxs3514/AndroidFelix/,['ic_launcher-web.png']
byancar/projetos/,['diagrama.png']
bzeuner/XxxModel/,['XxxModel.uml']
c0nstantx/ExtraSchool/,['DomainClasses.png']
caciula/c301/,['Assignment1UML.jpeg']
caffeine206/430FP/,['FPDiagram.png']
cahyoarjuna/InformasiPariwisataWonosobo/,"['Class Diagram.png', 'ic_launcher-web.png']"
caiofior/fioriechiavi.it/,"['class_structure.svg', 'db_structure.svg', 'use_case.svg']"
CaioIcy/ICG_OpenGL/,['Game Class Diagram.jpg']
caioteixeira/RedesNeurais/,['RedesNeuraisDiagram.png']
caiqiqi/DailyRecords/,"['classDiagram.cld.jpg', 'classDiagram.png', 'flower.jpg', 'interactionDiagram.png', 'my.uml']"
caje08/Proj3_Calcula/,['umlini.bmp']
cakper/facade-pattern/,['uml.png']
cakper/interpreter-pattern/,['uml.png']
caliskimmer/MetroidSmash/,"['Bullet_Explosion_1.png', 'Bullet_Explosion_2.png', 'Bullet_Explosion_3.png', 'Bullet_Explosion_4.png', 'Bullet_Explosion_5.png', 'Bullet_Explosion_6.png', 'Generic_Button.png', 'Paratroopa_Position_1_REVERSE.png', 'Paratroopa_Position_2_REVERSE.png', 'Paratroopa_Position_3_REVERSE.png', 'Paratroopa_Position_4_REVERSE.png', 'Paratroopa_Position_5_REVERSE.png', 'Screen Shot 2012-01-27 at 3.30.32 PM.png', 'Screen Shot 2012-01-28 at 7.29.10 PM.png', 'Screen Shot 2012-02-08 at 7.42.29 PM.png', 'SuperMetroidSamus.gif', 'background_object.png', 'platformspritesheet2.png', 'supermarioworld2yoshisisland_koopatroopa-red_sheet.png']"
Callie-Johnston/Yahoo--Weather-News/,"['class_diagram_weather.png', 'ic_launcher-web.png', 'sequence_diagram_weather.png']"
calvinlee/calvinlee.github.io/,['favicon.png']
calystene/COO_Project/,['UML.jpeg']
Camixxx/DesktopAssistant/,['ClassDiagram1.png']
CanadianEngineer/HCIDrawingProgram/,"['ClassDiagram.png', 'StateChartDiagram.png']"
CAndD/Taller/,['Diagramas de Diseno - 4+1.uml']
canonici/GL-M1/,['weather_map.jpg']
CaptainBonzo/Altenpohl_Renate_StrategyDesign_22.6.15/,['strategy_design_aufgabe.jpg']
caramcc/dbd-television-project/,"['uml-apr-1.png', 'uml-mar-31.png', 'uml-may-1.png']"
cargilcm/spring14classes/,"['java_servlet_lifecycle.jpg', 'screen.png', 'screen2.png']"
carlatgithub/jungle/,"['UC.JPG', 'diagrammeDeClasse.PNG', 'diagrammeDeClasses.jpg', 'projet_jungle.uml']"
carlosgeos/polynomial-cpp/,"['class.png', 'class.uml']"
carloslfu/blocklify/,"['architecture.jpg', 'blocklify.jpg']"
CarlosV18/Examen1_Progra3/,['DiagramParte2.png']
carmenvkrol/portfolio-website/,"['portfolio-website-screenshot1.png', 'portfolio-website-screenshot2.png', 'portfolio-website-screenshot3.png']"
casputman/qwirkle/,['Class Diagram.jpg']
cassini-mohsin/complaints/,['s.gif']
cataoaraujo/Multilayer-perceptron/,['Diagram MLP.png']
CatfishStudio/CatfishQA/,['QAUML.uml']
catompiler/celestial-battle/,['celestial-battle.uml']
Cats2/FrameworkLogin/,['LogginDIagrammeFinal.jpg']
cattsmall/thesis-website/,['favicon.png']
caziertyler/CS3620_FinalProject/,"['fp-d2-diagram.jpg', 'fp-d3-diagram.uml']"
caztial/php-user-role-design-pattern/,['ClassDiagram.jpeg']
cbenist/Tales-of-White-Wolf/,"['Class Diagram0.jpg', 'GUI prototype.JPG']"
cbmurphy/WCDB-Poseidon/,"['WCDB2_UML.jpg', 'WCDB3_UML.jpg', 'WCDB_UML.jpg']"
cbuegr320/atmRepo/,"['Borus_Class_Diagrams.png', 'atmSlides1thru8.png']"
CC007/LightSaverMaven/,['ClassDiagramImage.png']
cc2233/Assignment1_VendingMachine/,['Assignment1_VendingMachine-UML.jpg']
cchampet/iMineCraft/,['UML_class.png']
ccruzp/TareaDeSoftware/,['Diagrama.uml']
Cdingram/Cdingram-ClaimTrak/,['ic_launcher-web.png']
cebericus/PartialTown/,['Screenshot from 2014-08-23 08:27:16.png']
CedricBm/airblio/,['airblio Class diagram.png']
cemeai/Check-Please/,"['Flyer.jpg', 'bg-web.png', 'fb-web.png', 'fb_logo-web.png', 'ic_launcher-web.png']"
cemeka/PaintProgram/,"['UML activity diagram 1.png', 'UML use case diagram.png']"
cen4010-onlinecardealer/docs/,"['Class-Diagram.jpg', 'ObjectDiag.jpg', 'ObjectDiagramTemp.PNG', 'SeqDiag1.PNG', 'SeqDiag2.PNG', 'Sequence-diagram-template.jpg']"
Cendrb/UTU-on-Rails/,['diagram.svg']
centeno/oncast-taos/,['ClassDiagram.jpg']
Cerciber/QuickList/,"['Mapa de procesos 2 SENA.png', 'Mapa de procesos SENA.jpg']"
cespardo/SingletonPattern2Code/,['NewModel Class Diagram.jpg']
cetylene07/tong/,['_고해상도.png']
Ceutec/Examen1Tiburon/,['DiagramParte2.png']
Ceutec/Progra2Examen2/,['Diagrama.png']
Ceutec/Progra3Examen1/,['DiagramParte2.png']
cezarik8/RestantaSE/,['Diagrama UML.jpg']
CFattori/cronovisor/,"['cf5_editar_6_fw.png', 'cover.jpg']"
cfchang/cs411/,"['10_structure.jpg', '9_Architecture.jpg']"
cflynn07/simple-producer-consumer/,['UML_Sequence.png']
cgs1999/mini-framework/,['miniframework.uml']
chamocc/HDT4/,['UML1.jpeg']
chamocc/HDT8/,['Diagrama1.jpeg']
chanrich/Smart-Light/,"['ADXL335 Diagram.png', 'ATmega328P.png', 'Front.jpg', 'Sonar Beam Pattern.png']"
ChantelG/Halftone/,"['UML_Latest.png', 'UML_Latest_1.png']"
Chanyanuch/MasterPeace/,"['Class Diagram Final.png', 'ClassDiagram.png', 'ClassDiagramRelationship.png']"
ChaosWu/AndroidDemos/,"['android_colors_me.png', 'ic_launcher-web.png']"
Charapao/ManualSuperdebug/,"['ClassDiagram.PNG', 'ManualMan.uml', 'SeqDiagram.PNG']"
Charles-M/CompilateurPlic/,"['img.jpg', 'paleo.lexiqueClassDiagram.jpg', 'regions.jpg']"
charles1303/props-loader/,['uml_class_diagram.jpg']
charlesfire/OS-TP3-99/,['ClassDiagram.uml']
charlesfire/TP3-Crazy/,"['Uml.uml', 'uml.png']"
CharlesMcquade/cs373-idb/,['UML.png']
charlyAttrait/Search-Find-Project/,['ic_launcher-web.png']
charti/InVers/,['ClassDiagram1.png']
